Наименование;Артикул
Выключатель АК50Б-2МОМ3, постоянный, 25А, 6Iн, условие - 01, ТУ16-522.136-78;104776
Выключатель АК50Б-2МОМ3, постоянный, 31,5А, 6Iн, ТУ16-522.136-78;104778
Выключатель АК50Б-2МОМ3, постоянный, 31,5А, 6Iн, условие - 01, ТУ16-522.136-78;104779
Выключатель АК50Б-2МОМ3, постоянный, 4А, 6Iн, ТУ16-522.136-78;104782
Выключатель АК50Б-2МОМ3, постоянный, 4А, 6Iн, условие - 01, ТУ16-522.136-78;104783
Выключатель АК50Б-2МОМ3, постоянный, 40А, 6Iн, ТУ16-522.136-78;104787
Выключатель АК50Б-2МОМ3, постоянный, 40А, 6Iн, условие - 01, ТУ16-522.136-78;104788
Выключатель АК50Б-2МОМ3, постоянный, 5А, 6Iн, ТУ16-522.136-78;104792
Выключатель АК50Б-2МОМ3, постоянный, 5А, 6Iн, условие - 01, ТУ16-522.136-78;140358
Выключатель АК50Б-2МОМ3, постоянный, 50А, 6Iн, ТУ16-522.136-78;104796
Выключатель АК50Б-2МОМ3, постоянный, 50А, 6Iн, условие - 01, ТУ16-522.136-78;104797
Выключатель АК50Б-2МОМ3, постоянный, 6,3А, 6Iн, ТУ16-522.136-78;104799
Выключатель АК50Б-2МОМ3, постоянный, 6,3А, 6Iн, условие - 01, ТУ16-522.136-78;104800
Выключатель АК50Б-2МОМ3, постоянный, 8А, 6Iн, условие - 01, ТУ16-522.136-78;115010
Выключатель АК50Б-2МОМ3, постоянный, 8А, 6Iн, ТУ16-522.136-78;228449
Выключатель АК50Б-2МОМ2, постоянный, 50А, 6Iн, IP54 (с кабельными вводами), ТУ16-522.136-78;104804
Выключатель АК50Б-2МОМ2, постоянный, 16А, 6Iн, IP54 (с сальниками), ТУ16-522.136-78;145526
Выключатель АК50Б-2МОМ2, постоянный, 40А, 6Iн, IP54 (с сальниками), ТУ16-522.136-78;227929
Выключатель АК50Б-2МОМ2, постоянный, 50А, 6Iн, IP54 (с сальниками), ТУ16-522.136-78;104806
Выключатель АК50Б-2МГОМ3, 50Гц, 1А, 12Iн, ТУ16-522.136-78;104809
Выключатель АК50Б-2МГОМ3, 50Гц, 1А, 12Iн, условие - 01, ТУ16-522.136-78;104810
Выключатель АК50Б-2МГОМ3, 50Гц, 10А, 12Iн, ТУ16-522.136-78;104817
Выключатель АК50Б-2МГОМ3, 50Гц, 10А, 12Iн, условие - 01, ТУ16-522.136-78;104816
Выключатель АК50Б-2МГОМ3, 50Гц, 16А, 12Iн, ТУ16-522.136-78;104824
Выключатель АК50Б-2МГОМ3, 50Гц, 16А, 12Iн, условие - 01, ТУ16-522.136-78;104823
Выключатель АК50Б-2МГОМ3, 50Гц, 2А, 12Iн, ТУ16-522.136-78;104832
Выключатель АК50Б-2МГОМ3, 50Гц, 2А, 12Iн, условие - 01, ТУ16-522.136-78;104831
Выключатель АК50Б-2МГОМ3, 50Гц, 20А, 12Iн, ТУ16-522.136-78;104839
Выключатель АК50Б-2МГОМ3, 50Гц, 20А, 12Iн, условие - 01, ТУ16-522.136-78;104838
Выключатель АК50Б-2МГОМ3, 50Гц, 25А, 12Iн, ТУ16-522.136-78;104843
Выключатель АК50Б-2МГОМ3, 50Гц, 25А, 12Iн, условие - 01, ТУ16-522.136-78;104842
Выключатель АК50Б-2МГОМ3, 50Гц, 31,5А, 12Iн, ТУ16-522.136-78;104848
Выключатель АК50Б-2МГОМ3, 50Гц, 31,5А, 12Iн, условие - 01, ТУ16-522.136-78;104847
Выключатель АК50Б-2МГОМ3, 50Гц, 4А, 12Iн, ТУ16-522.136-78;104850
Выключатель АК50Б-2МГОМ3, 50Гц, 4А, 12Iн, условие - 01, ТУ16-522.136-78;104849
Выключатель АК50Б-2МГОМ3, 50Гц, 40А, 12Iн, ТУ16-522.136-78;104856
Выключатель АК50Б-2МГОМ3, 50Гц, 40А, 12Iн, условие - 01, ТУ16-522.136-78;104857
Выключатель АК50Б-2МГОМ3, 50Гц, 5А, 12Iн, ТУ16-522.136-78;104862
Выключатель АК50Б-2МГОМ3, 50Гц, 5А, 12Iн, условие - 01, ТУ16-522.136-78;104863
Выключатель АК50Б-2МГОМ3, 50Гц, 50А, 12Iн, ТУ16-522.136-78;104868
Выключатель АК50Б-2МГОМ3, 50Гц, 50А, 12Iн, условие - 01, ТУ16-522.136-78;104867
Выключатель АК50Б-2МГОМ3, 50Гц, 6,3А, 12Iн, ТУ16-522.136-78;104872
Выключатель АК50Б-2МГОМ3, 50Гц, 6,3А, 12Iн, условие - 01, ТУ16-522.136-78;104871
Выключатель АК50Б-2МГОМ3, 50Гц, 8А, 12Iн, ТУ16-522.136-78;104878
Выключатель АК50Б-2МГОМ3, 50Гц, 8А, 12Iн, условие - 01, ТУ16-522.136-78;104877
Выключатель АК50Б-2МГОМ2, 50Гц, 20А, 12Iн, IP54 (с кабельными вводами), ТУ16-522.136-78;104883
Выключатель АК50Б-2МГОМ2, 50Гц, 10А, 12Iн, IP54 (с сальниками), ТУ16-522.136-78;281278
Выключатель АК50Б-2МГОМ2, 50Гц, 16А, 12Iн, IP54 (с сальниками), ТУ16-522.136-78;262038
Выключатель АК50Б-2МГОМ2, 50Гц, 2А, 12Iн, IP54 (с сальниками), ТУ16-522.136-78;104886
Выключатель АК50Б-2МГОМ2, 50Гц, 2А, 12Iн, IP54 (с сальниками), условие - 01, ТУ16-522.136-78;104887
